"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"4464G";"SO28L";"U3";"MEMORY";"";
"8";"";"DIODE-SOD80C";"SOD80C";"D2, D3, D4, D5, D6, D7, D8, D9";"DIODE";"";
"1";"";"DIP-TOGGLE-SWITCH-2CH-(2X3P-2.54-90D)'90D'";"SW6-2.54-9.0X3.5X3.2MM-90D";"SW1";"311030004";"";
"1";"";"JST_2PIN-THM-RA";"JST-PH-2-THM-RA";"BAT";"JST 2-Pin Connectors of various flavors";"";
"1";"";"L-EUL4532P";"L4532P";"L1";"INDUCTOR, European symbol";"";
"4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"CHRG, LED10, LED11, LED12";"LED";"";
"1";"";"R-TRIMM4G/J";"RTRIM4G/J";"R26";"Trimm resistor";"";
"1";"";"SCHOTTKY-DIODESMD";"SMB";"D1";"Schottky Diode";"";
"25";"100n";"C-EUC0805K";"C0805K";"C5, C10, C11, C12, C14, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C35, C36";"CAPACITOR, European symbol";"";
"18";"10K";"R-EU_M0805";"M0805";"R1, R2, R3, R4, R5, R9, R10, R13, R14, R35, R50, R51, R52, R53, R54, R55, R56, R57";"RESISTOR, European symbol";"";
"1";"10n";"C-EUC0805K";"C0805K";"C4";"CAPACITOR, European symbol";"";
"1";"10p";"C-EUC0805K";"C0805K";"C6";"CAPACITOR, European symbol";"";
"2";"1K";"R-EU_M0805";"M0805";"R18, R25";"RESISTOR, European symbol";"";
"3";"1M";"R-EU_M0805";"M0805";"R6, R8, R27";"RESISTOR, European symbol";"";
"1";"20p";"C-EUC0805K";"C0805K";"C7";"CAPACITOR, European symbol";"";
"1";"220K";"R-EU_M0805";"M0805";"R44";"RESISTOR, European symbol";"";
"4";"220R";"R-EU_M0805";"M0805";"R19, R20, R21, R22";"RESISTOR, European symbol";"";
"1";"220n";"C-EUC0805K";"C0805K";"C3";"CAPACITOR, European symbol";"";
"2";"22p";"C-EUC0805K";"C0805K";"C1, C2";"CAPACITOR, European symbol";"";
"4";"22u";"C-EUC0805K";"C0805K";"C8, C9, C13, C15";"CAPACITOR, European symbol";"";
"1";"24AA64SN";"24AA64SN";"SO-08";"U17";"Serial EEPROM";"";
"1";"28C64AL";"28C64AL";"PLCC-32";"U2";"CMOS EEPROM";"";
"1";"2K2";"R-EU_M0805";"M0805";"R24";"RESISTOR, European symbol";"";
"1";"2MHz";"CRYSTALHC49UP";"HC49UP";"Q1";"CRYSTAL";"";
"1";"32K";"XTALNX5032";"NX5032";"X2";"Low cost SMT crystals, no capacitors included";"";
"1";"330K";"R-EU_M0805";"M0805";"R59";"RESISTOR, European symbol";"";
"4";"330R";"R-EU_M0805";"M0805";"R45, R46, R47, R49";"RESISTOR, European symbol";"";
"1";"33K";"R-EU_M0805";"M0805";"R7";"RESISTOR, European symbol";"";
"1";"4060D";"4060D";"SO16";"U16";"14-stage binary/ripple COUNTER";"";
"1";"470R";"R-EU_M0805";"M0805";"R16";"RESISTOR, European symbol";"";
"3";"47K";"R-EU_M0805";"M0805";"R15, R23, R38";"RESISTOR, European symbol";"";
"7";"4K7";"R-EU_M0805";"M0805";"R28, R29, R30, R31, R34, R36, R37";"RESISTOR, European symbol";"";
"3";"5M1";"R-EU_M0805";"M0805";"R11, R12, R58";"RESISTOR, European symbol";"";
"1";"6502";"G65SC02P";"DIP-40";"U1";"California Micro Devices Version";"";
"1";"68K";"R-EU_M0805";"M0805";"R39";"RESISTOR, European symbol";"";
"1";"6K8";"R-EU_M0805";"M0805";"R17";"RESISTOR, European symbol";"";
"1";"74HC00D";"74HC00D";"SO14";"U10";"Quad 2-input NAND gate";"";
"1";"74HC02D";"74HC02D";"SO14";"U13";"Quad 2-input NOR gate";"";
"1";"74HC04D";"74HC04D";"SO14";"U9";"Hex INVERTER";"";
"1";"74HC138D";"74HC138D";"SO16";"U4";"3-line to 8-line DECODER/DEMULTIPLEXER";"";
"1";"74HC139D";"74HC139D";"SO16";"U11";"Dual 2-line to 4-line DECODER/DEMULTIPLEXER";"";
"1";"74HC244DW";"74HC244DW";"SO20W";"U7";"Octal BUFFER and LINE DRIVER, 3-state";"";
"1";"74HC245DW";"74HC245DW";"SO20W";"U8";"Octal BUS TRANSCEIVER, 3-state";"";
"2";"74HC541DW";"74HC541DW";"SO20W";"U6, U19";"Octal BUFFER and LINE DRIVER, 3-state";"";
"1";"74HC573D";"74HC573D";"SO20W";"U20";"8-bit D latch BUS DRIVER";"";
"1";"74HC74D";"74HC74D";"SO14";"U12";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";
"1";"BC847";"BC847";"SOT23";"T1";"NPN TRANSISTOR";"";
"3";"DL1414T";"DL1414T";"DL1414T";"DISP1, DISP2, DISP3";"";"";
"1";"EDGE_28_ANGLE";"EDGE_28_ANGLE";"EDGE_28_ANGLE";"EXPANSION";"";"";
"1";"FT232RQ";"FT232RQ";"QFN32";"U18";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
"1";"IRLML6402";"BSS84";"SOT23";"Q2";"P-CHANNEL MOS FET";"";
"2";"JUMPER_CLOSED";"JUMPER_CLOSED";"JUMPER_CLOSED";"J1, J4";"";"";
"2";"JUMPER_OPEN";"JUMPER_OPEN";"JUMPER_OPEN";"J3, J5";"";"";
"1";"LCD-AC-0802E";"LCD-AC-0802E";"LCD-AC-0802E";"LCD1";"";"";
"1";"LM393D";"LM393D";"SO08";"U21";"COMPARATOR";"";
"1";"NE555D";"NE555D";"SO08";"U5";"TIMER";"";
"25";"SKHMPSE010";"SKHMPSE010";"SKHMPXE010";"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, A, B, C, D, DEC, E, F, F1, F2, F3, F4, GO!, INC, RESET, SEL";"6.2 X 6.5mm TACT Switch (SMD)";"";
"1";"SX1308";"SX1308";"SOT23-6";"U14";"";"";
"1";"TP4056";"TP4056";"SOP-8";"U15";"";"";
"1";"USB-MB-S";"USB-MB-S";"USB-MB-S";"X1";"USB Connectors";"";
